register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿92086012235,Àrea de Joc Infantil a la Plaça de Zenòbia Camprubí,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:41.469085+02:00,,,700446,Pl Zenòbia Camprubí,1,,71,Provençals del Poblenou,10,Sant Martí,08020,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432193.3079294569,4582670.618490723,41.39271160492999,2.1889222481574144
﻿92086012270,Àrea de Joc Infantil a la Plaça Abat Escarré,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:21.029709+02:00,,,700689,Pl Abat Escarré,9999,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432377.3513039391,4586836.220912538,41.43024540398935,2.190657940115011
﻿92086012280,Àrea de Joc Infantil a la Plaça Pastrana,,,1985-04-16T00:00:00+02:00,2021-05-04T12:34:21.471573+02:00,,,247400,Pl Pastrana,1,,37,el Carmel,07,Horta-Guinardó,08032,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,429453.7137863039,4586337.684173629,41.425503823932345,2.15572811307138
﻿92086012283,Àrea de Joc Infantil a Santuari - La Manxa,,,1985-04-16T00:00:00+02:00,2021-05-04T12:34:05.122755+02:00,,,320307,C Santuari,81,,37,el Carmel,07,Horta-Guinardó,08032,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,429299.9433821588,4585846.777925897,41.42106891399094,2.1539454332367916
﻿92086012304,Àrea de Joc Infantil a la Plaça Sot dels Paletes,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:28.037926+02:00,,,700104,Pl Sot dels Paletes,9999,,60,Sant Andreu,09,Sant Andreu,08030,BARCELONA,False,,165087,20042,Telèfons,No tenen telèfon,,True,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,432453.2234077022,4587632.842166467,41.43742668465559,2.1914768969752885
﻿92086012306,Àrea de Joc Infantil a la Plaça del Carib (Cantera- Briquets- Llobera),,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:30.676236+02:00,,,186408,C Llobera,134,,50,les Roquetes,08,Nou Barris,08042,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431262.8886730691,4589032.757292527,41.44993416613011,2.177070903535132
﻿92086012307,Àrea de Joc Infantil a Torrent de Can Piquer - Piferrer,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:31.524062+02:00,,,255500,C Piferrer,129,,45,Porta,08,Nou Barris,08016,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431313.63958056486,4587072.51339598,41.432283343974476,2.177901297987884
﻿92086012308,Àrea de Joc Infantil a la Plaça Virrei Amat,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:32.449760+02:00,,,366501,Pl Virrei Amat,1,,44,Vilapicina i la Torre Llobeta,08,Nou Barris,08031,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431005.9586310697,4586758.9263888495,41.429432610868105,2.174254861038062
﻿92086012312,Àrea de Joc Infantil a Jorge Manrique - Can Travi,,,1985-04-15T00:00:00+02:00,2021-05-04T12:33:35.770974+02:00,,,169103,C Jorge Manrique,16,,41,la Vall d'Hebron,07,Horta-Guinardó,08035,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,429017.6758804242,4586996.297664727,41.43139726568915,2.150432990990598
﻿92086012320,Àrea de Joc Infantil a la Plaça Paul Claudel,,,1985-04-16T00:00:00+02:00,2021-05-04T12:34:18.365235+02:00,,,247706,Pl Paul Claudel,1,,44,Vilapicina i la Torre Llobeta,08,Nou Barris,08031,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,430880.23884711217,4586779.726160517,41.429609137877925,2.172747974290455
