NAME_AREA,ROAD,CODE_DISTRICT,DISTRICT,GEOX,GEOY
Àrea de Joc Infantil a la Plaça de Zenòbia Camprubí,Pl Zenòbia Camprubí,10,Sant Martí,41.39271160492999,2.1889222481574144
Àrea de Joc Infantil a la Plaça Abat Escarré,Pl Abat Escarré,9,Sant Andreu,41.43024540398935,2.190657940115011
Àrea de Joc Infantil a la Plaça Pastrana,Pl Pastrana,7,Horta-Guinardó,41.425503823932345,2.15572811307138
Àrea de Joc Infantil a Santuari - La Manxa,C Santuari,7,Horta-Guinardó,41.42106891399094,2.153945433236792
Àrea de Joc Infantil a la Plaça Sot dels Paletes,Pl Sot dels Paletes,9,Sant Andreu,41.43742668465559,2.1914768969752885
Àrea de Joc Infantil a la Plaça del Carib (Cantera- Briquets- Llobera),C Llobera,8,Nou Barris,41.44993416613011,2.177070903535132
Àrea de Joc Infantil a Torrent de Can Piquer - Piferrer,C Piferrer,8,Nou Barris,41.43228334397448,2.177901297987884
Àrea de Joc Infantil a la Plaça Virrei Amat,Pl Virrei Amat,8,Nou Barris,41.429432610868105,2.174254861038062
Àrea de Joc Infantil a Jorge Manrique - Can Travi,C Jorge Manrique,7,Horta-Guinardó,41.43139726568915,2.150432990990598
Àrea de Joc Infantil a la Plaça Paul Claudel,Pl Paul Claudel,8,Nou Barris,41.429609137877925,2.172747974290455
Àrea de Joc Infantil a la Plaça Taxonera,Pl Taxonera,7,Horta-Guinardó,41.42264007876664,2.1471531984241667
Àrea de Joc Infantil a la Plaça Verda de la Prosperitat,Pl Verda de la Prosperitat,8,Nou Barris,41.44153975425986,2.1830064999884606
Àrea de Joc Infantil a Joan Riera - Almagro,C Almagro,8,Nou Barris,41.442054004547984,2.1741003039891904
Àrea de Joc Infantil a l'Avinguda Mistral - Calàbria - Tamarit,Av Mistral,2,Eixample,41.37702936125601,2.158318330819925
Àrea de Joc Infantil a la Rambla Prim - Llull - Pallars,Rbla Prim,10,Sant Martí,41.4040907509775,2.204814833175213
Àrea de Joc Infantil a la Plaça Ram de l'Aigua,Pl Ram de l'Aigua,10,Sant Martí,41.4206290212906,2.201553365174945
Àrea de Joc Infantil  a la Plaça General Moragues,C Felip II,9,Sant Andreu,41.41854812473207,2.189661089972046
Àrea de Joc Infantil a Granvia - Radi - Carretera del Prat - Plaça Ildefons Cerdà,G.V. Corts Catalanes,3,Sants-Montjuïc,41.36410374940948,2.135292998895303
Àrea de Joc Infantil a Riera Blanca - Quetzal,Rier Blanca,3,Sants-Montjuïc,41.36657795228045,2.132337546659886
Àrea de Joc Infantil al Passeig de Sant Joan - Rosselló - Corsega,Pg Sant Joan,2,Eixample,41.40125057775733,2.1667559699151537
Àrea de Joc Infantil a València - Espronceda - Clot - Biscaia,C València,10,Sant Martí,41.41387327394872,2.191391846654727
Àrea de Joc Infantil,C Muntaner,5,Sarrià-Sant Gervasi,41.40086568469832,2.1407764669006117
Àrea de Joc Infantil,C Enric Giménez,5,Sarrià-Sant Gervasi,41.39594206864757,2.119039969608755
Àrea de Joc Infantil,C Dalmases,5,Sarrià-Sant Gervasi,41.40332205781528,2.1295775043587453
Àrea de Joc Infantil a la Plaça Ventura i Gassol,C Pàdua,5,Sarrià-Sant Gervasi,41.40703184249619,2.147217875225238
Àrea de Joc Infantil a la Plaça Wagner,Pl Wagner,5,Sarrià-Sant Gervasi,41.39270909917788,2.139448547511958
Àrea de Joc Infantil a la Plaça del Nen de la Rutlla,Pl Nen de la Rutlla,7,Horta-Guinardó,41.41881637998661,2.1716381744883275
Àrea de Joc Infantil a la Plaça Palmeres,Pl Palmeres,9,Sant Andreu,41.43240156756956,2.1863394026799194
Àrea de Joc Infantil a la Plaça de la Primavera,Pl Primavera,9,Sant Andreu,41.44568185561059,2.1879963457317344
Àrea de Joc Infantil a Feliu i Codina - Torrent Can Mariner,C Torrent de Can Mariner,7,Horta-Guinardó,41.43300634690182,2.1610704503962235
Àrea de Joc Infantil a la Plaça Doctor Ignasi Barraquer,Pl Doctor Ignasi Barraquer,4,Les Corts,41.390425468778815,2.1424247100028384
Zoo de Barcelona,Parc Ciutadella,1,Ciutat Vella,41.386153673583415,2.1871870138081797
Zoo de Barcelona,Parc Ciutadella,1,Ciutat Vella,41.386153673583415,2.1871870138081797
Àrea de Joc Infantil a la Plaça de l'Oca,C Enamorats,10,Sant Martí,41.40883819847489,2.1853438725470498
Àrea de Joc Infantil a la Plaça Gal.la Placídia,Pl Gal.la Placídia,6,Gràcia,41.39892187867756,2.153687418344781
Àrea de Joc Infantil a l'Avinguda Vallcarca - Gomis,C Gomis,6,Gràcia,41.41222008344687,2.1414757573879912
