NAME,CREATED,ROAD,addresses_district_id,addresses_district_name,LATITUDE,LONGITUDE
Centre Cívic Pere Pruna,2000,Carrer de Ganduxer,5.0,Sarrià-Sant Gervasi,41.40320904460329,2.13132023534547
Centre Cívic Pere Pruna,2000,Carrer de Ganduxer,5.0,Sarrià-Sant Gervasi,41.40320904460329,2.13132023534547
Espai Lúdic Ambiental per a Famílies LaLudo,2000,Pas Institut Escola,1.0,Ciutat Vella,41.38737945873459,2.186898929399237
Centre Cívic Cotxeres Borrell,2002,Carrer de Viladomat,2.0,Eixample,41.37593604478161,2.1631899655131503
Centre Cívic Cotxeres Borrell,2002,Carrer de Viladomat,2.0,Eixample,41.37593604478161,2.1631899655131503
Centre Cívic Barceloneta,1994,Carrer de la Conreria,1.0,Ciutat Vella,41.38029984700479,2.1923160012104885
Centre Cívic Barceloneta,1994,Carrer de la Conreria,1.0,Ciutat Vella,41.38029984700479,2.1923160012104885
Centre Cívic Casa del Rellotge,1991,Passeig de la Zona Franca,3.0,Sants-Montjuïc,41.35757415322748,2.141406028389017
Centre Cívic Casa del Rellotge,1991,Passeig de la Zona Franca,3.0,Sants-Montjuïc,41.35757415322748,2.141406028389017
Estació d'Autobusos Barcelona Nord,1995,C Alí Bei,2.0,Eixample,41.394325719298415,2.182338154669274
Estació d'Autobusos Barcelona Nord,1995,C Alí Bei,2.0,Eixample,41.394325719298415,2.182338154669274
Centre Cívic Cotxeres de Sants,1984,Carrer de Sants,3.0,Sants-Montjuïc,41.37529848802473,2.136897693555585
Centre Cívic Cotxeres de Sants,1984,Carrer de Sants,3.0,Sants-Montjuïc,41.37529848802473,2.136897693555585
Mercat de Les Corts,1984,Travessera de les Corts,4.0,Les Corts,41.38407806063042,2.1298048647400445
Mercat de Les Corts,1984,Travessera de les Corts,4.0,Les Corts,41.38407806063042,2.1298048647400445
Museu Nacional d'Art de Catalunya,1994,C Mirador Palau Nacional,3.0,Sants-Montjuïc,41.368885103834,2.1533812278994167
Museu Nacional d'Art de Catalunya,1994,C Mirador Palau Nacional,3.0,Sants-Montjuïc,41.368885103834,2.1533812278994167
